id,nation,typeAudio,MaxPlayers,MaxCoins,idSalon,IdGame
12,United States,Stereo,2,1530,2,93
239,Russia,Stereo,1,2671,91,94
320,Russia,Mono,3,453,133,94
164,Indonesia,Stereo,3,9760,93,95
219,China,Mono,4,5943,174,95
251,China,Stereo,3,1974,71,96
165,Russia,Mono,4,302,102,97
181,China,Mono,2,5623,107,97
188,China,Stereo,4,7859,126,99
134,Russia,Mono,4,2087,52,100
273,China,Mono,2,6331,117,101
142,China,Mono,1,3048,123,102
104,China,Mono,4,3226,50,103
170,Russia,Stereo,4,4728,80,103
334,Russia,Stereo,1,6727,71,104
144,China,Mono,2,1859,96,104
98,Indonesia,Mono,1,2327,153,105
46,Indonesia,Mono,4,8521,32,106
96,Indonesia,Stereo,4,7501,32,106
387,Ukraine,Mono,3,4525,131,106
182,China,Mono,1,9535,125,107
398,China,Stereo,3,1076,138,107
393,China,Mono,1,7370,155,108
377,China,Stereo,1,7186,138,110
204,China,Stereo,1,963,40,112
206,China,Mono,4,6951,86,112
382,China,Stereo,4,4430,122,113
345,China,Stereo,2,2829,49,114
178,Indonesia,Mono,1,6410,101,114
248,Indonesia,Mono,4,1368,167,114
397,Russia,Stereo,3,8456,170,114
343,China,Mono,4,1120,108,115
166,Russia,Mono,2,2810,59,117
337,China,Mono,1,4592,95,117
338,Indonesia,Mono,4,2364,75,118
349,China,Mono,3,9778,92,118
14,China,Stereo,1,7287,99,118
237,China,Mono,4,2461,56,120
57,China,Mono,1,5943,92,120
194,Russia,Stereo,4,2621,183,120
1,China,Mono,3,9760,38,121
162,Indonesia,Stereo,1,2080,38,122
289,United States,Stereo,4,1272,2,123
17,South Korea,Mono,3,1984,38,123
143,China,Mono,4,7981,19,124
348,Indonesia,Mono,4,2118,157,124
329,Ukraine,Stereo,3,3164,174,124
44,Indonesia,Mono,4,5554,90,125
267,Russia,Mono,3,7766,93,125
330,Argentina,Stereo,1,173,32,126
372,Japan,Mono,3,596,80,126
27,China,Stereo,3,6237,160,127
163,China,Stereo,4,334,182,127
378,Indonesia,Stereo,1,224,179,128
199,Indonesia,Mono,1,4177,45,129
355,China,Mono,3,3966,70,129
124,China,Stereo,1,3330,103,129
75,Indonesia,Stereo,3,6077,145,129
205,China,Mono,4,5218,70,130
225,Indonesia,Mono,3,3105,77,130
313,Japan,Stereo,3,6332,173,130
370,Ukraine,Stereo,2,4178,178,130
396,China,Stereo,4,617,85,132
100,China,Stereo,1,846,44,133
270,Russia,Stereo,2,2682,46,133
198,Ukraine,Mono,1,6763,142,133
208,Japan,Stereo,4,8905,148,133
315,China,Stereo,4,3392,14,137
360,Japan,Stereo,4,5914,95,137
123,China,Stereo,3,1839,114,137
316,Japan,Mono,2,5726,165,137
43,China,Stereo,4,8437,171,137
13,China,Mono,3,5550,62,138
278,China,Stereo,3,2289,65,138
232,Indonesia,Stereo,3,3480,93,138
304,Russia,Stereo,3,643,107,139
302,Russia,Mono,4,110,125,139
339,China,Stereo,2,8205,78,141
61,China,Mono,1,6738,35,142
85,Indonesia,Mono,4,3819,82,142
5,China,Stereo,2,2205,114,142
268,China,Stereo,4,4651,106,143
245,Indonesia,Stereo,4,3715,52,145
275,China,Mono,3,2371,60,146
48,China,Mono,4,6187,68,146
261,Argentina,Stereo,3,6467,159,146
10,Russia,Stereo,1,8704,188,146
280,China,Stereo,4,259,161,147
15,China,Stereo,3,6992,171,147
342,Russia,Stereo,2,1988,179,148
77,Indonesia,Mono,1,6223,182,148
131,Indonesia,Mono,2,2509,83,149
288,China,Mono,3,9172,119,149
169,Ukraine,Stereo,4,9216,129,149
395,Russia,Mono,3,6899,187,149
263,Russia,Stereo,2,9972,167,150
391,United States,Stereo,3,2484,2,151
390,China,Mono,2,3347,51,151
366,Indonesia,Stereo,1,6301,134,152
172,China,Stereo,4,5969,139,152
321,United States,Mono,3,9755,155,153
307,Russia,Stereo,2,4183,2,154
241,China,Stereo,2,298,74,156
70,Russia,Stereo,3,3265,184,156
253,China,Stereo,1,7605,198,156
326,China,Stereo,1,5418,131,157
42,Ukraine,Mono,1,6483,173,157
250,United States,Stereo,3,9133,2,160
31,China,Stereo,1,379,54,160
82,China,Mono,2,1987,42,161
314,China,Mono,3,1839,51,161
311,China,Mono,2,280,191,163
276,China,Stereo,4,7412,191,164
243,Argentina,Stereo,4,906,144,165
190,Indonesia,Mono,1,7468,119,166
269,Indonesia,Stereo,4,8197,48,167
101,China,Stereo,1,7399,32,168
331,China,Mono,1,3082,106,168
180,Indonesia,Stereo,4,9574,12,170
40,China,Mono,1,5587,112,170
35,China,Stereo,2,8371,113,171
214,China,Mono,1,4421,24,172
117,Indonesia,Mono,1,1484,176,174
281,Russia,Mono,1,4456,13,175
179,China,Mono,1,7004,66,178
362,Indonesia,Mono,3,8525,38,179
45,Ukraine,Stereo,2,5030,53,179
22,Russia,Mono,1,3833,132,179
160,China,Stereo,4,1346,116,180
258,China,Stereo,3,3293,164,181
121,China,Stereo,1,8165,8,182
332,Russia,Mono,4,2363,119,182
111,China,Mono,2,1124,168,182
375,Indonesia,Mono,2,2343,190,182
279,Ukraine,Mono,1,895,180,183
60,China,Stereo,4,4776,101,184
195,China,Mono,4,2518,73,185
336,China,Mono,1,5682,150,185
192,China,Mono,2,944,51,186
255,Russia,Mono,1,9337,165,186
24,Indonesia,Mono,2,8713,173,187
149,Russia,Mono,1,9129,26,188
357,China,Stereo,1,1266,86,188
285,China,Stereo,3,5445,162,188
350,China,Stereo,2,3073,39,189
127,Indonesia,Stereo,4,3694,130,189
216,Russia,Mono,4,6834,118,190
99,Russia,Mono,4,2700,184,190
122,Indonesia,Mono,3,8262,9,192
236,Japan,Stereo,2,2904,16,194
135,China,Stereo,3,4479,41,195
322,Indonesia,Mono,3,9993,84,195
26,Ukraine,Stereo,2,7801,90,195
114,Russia,Stereo,4,5418,29,196
140,Ukraine,Mono,2,2023,195,196
299,Indonesia,Stereo,3,4826,160,197
295,Russia,Stereo,1,5172,50,198
224,Ukraine,Mono,3,6320,75,198
120,Russia,Stereo,4,1686,54,199
150,Russia,Mono,3,5104,121,199
361,Ukraine,Mono,1,6151,131,199
317,China,Stereo,1,1308,187,199
176,Indonesia,Stereo,2,2956,12,201
363,Russia,Stereo,2,4279,125,201
262,Indonesia,Stereo,1,4776,193,201
177,Russia,Mono,1,172,102,202
193,Argentina,Mono,4,5058,178,202
36,Germany,Mono,1,1492,181,202
133,Russia,Mono,1,4166,40,204
83,Japan,Stereo,3,7582,135,205
318,United States,Stereo,3,5034,2,206
296,Indonesia,Stereo,4,6441,72,209
32,Indonesia,Stereo,1,985,164,210
69,Indonesia,Mono,1,2656,8,211
203,China,Mono,2,9273,82,211
107,Indonesia,Stereo,3,7587,181,211
354,China,Stereo,1,3864,27,212
297,Indonesia,Stereo,4,4560,143,212
68,Russia,Mono,1,2707,17,213
93,Indonesia,Stereo,3,8502,147,213
221,Indonesia,Stereo,2,5750,32,215
106,China,Stereo,3,3529,86,215
147,China,Mono,1,6303,160,215
6,Indonesia,Mono,2,3907,184,215
215,Russia,Stereo,1,7260,35,216
130,Indonesia,Mono,1,2393,72,216
222,China,Stereo,3,6659,41,217
367,Indonesia,Mono,1,2710,52,217
25,China,Stereo,4,1782,25,218
183,Ukraine,Mono,3,6014,33,219
2,Indonesia,Mono,3,1407,185,219
128,China,Stereo,3,4096,40,220
171,Indonesia,Stereo,1,8533,69,220
168,Indonesia,Stereo,1,265,109,220
28,China,Stereo,2,3016,175,220
356,China,Stereo,3,2522,186,221
364,Indonesia,Mono,2,9909,9,223
137,Indonesia,Stereo,2,4264,124,223
173,Indonesia,Mono,1,5173,190,223
400,China,Stereo,2,4933,159,224
174,Indonesia,Mono,1,777,183,224
115,United States,Stereo,4,8253,2,225
235,China,Mono,4,9710,14,225
184,Germany,Mono,4,122,175,226
138,United States,Mono,1,4617,192,226
155,Russia,Stereo,3,7006,78,228
247,Indonesia,Stereo,3,5791,91,228
102,China,Mono,1,2713,175,229
202,China,Stereo,2,8471,103,230
81,China,Stereo,2,1535,50,231
159,Indonesia,Mono,4,5161,130,231
51,Russia,Stereo,1,898,137,231
185,China,Stereo,2,475,2,232
156,China,Stereo,4,762,86,232
300,China,Mono,4,3831,191,232
145,Ukraine,Stereo,4,7614,77,233
66,China,Mono,3,584,99,235
290,Indonesia,Stereo,1,261,144,240
383,China,Mono,4,8593,84,241
368,China,Stereo,3,5838,8,242
264,China,Stereo,4,2828,44,242
231,China,Mono,1,3884,68,243
139,Indonesia,Mono,3,3594,149,243
310,Russia,Stereo,4,8204,188,243
277,China,Stereo,4,3291,191,243
11,Indonesia,Stereo,1,7419,47,244
384,China,Stereo,1,3065,99,244
260,South Korea,Mono,4,2168,66,245
113,China,Stereo,4,8443,37,246
74,Indonesia,Mono,3,9294,86,246
84,China,Mono,4,7979,166,249
33,Japan,Mono,1,1528,169,250
